linkedin_connections,last_school_ranking,education_level,study_abroad,last_company_size_10k+,last_company_size_1k - 5k,last_company_size_51 - 200,last_company_size_11 - 50,last_company_size_2 - 10,main_industry_Finance,main_industry_Tech,main_industry_Strategy,main_role_biz_ops,main_role_ds_research,main_role_founder_investor,main_role_Software Engineer,how_many_time_founder,worked_with_startups,friction_index,worked_abroad,month_of_experience,companies_switched,promotions_rate,current_tenure,stickiness_index,additional_certifications,is_italy,is_EU,direct_message,social_channels,refferals,macro_field_expertise_Business,macro_field_expertise_Computer Science,macro_field_expertise_Engineering,founder_type_Business Founder,founder_type_Technical Founder,female,age_bracket_26-30,age_bracket_31-35,age_bracket_>=36,self_def_enrolled_student,self_defined_phd,self_def_recent_graduate,target_dropout
1,2,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,11.75,1,56,5,0.21,8,0.35,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,8,1,36,3,0.67,14,0.78,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,3.4,1,101,3,0.00,2,0.92,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4.7,1,85,6,1.13,7,2.47,3,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1
1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,6.8,1,93,8,0.39,0,1.13,11,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,17,1,122,7,0.00,4,0.35,4,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.35,0,55,4,0.00,0,0.38,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1
1,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,11.75,1,111,7,0.43,2,0.70,11,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,3.4,1,85,8,0.28,2,0.49,12,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,13.6,1,171,5,0.07,135,1.18,18,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1,2,4,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,17,1,176,5,0.00,41,0.27,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1
1,0,2,1,0,0,0,0,1,0,1,0,0,0,0,1,3,1,10.2,1,180,7,0.07,63,0.53,16,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.15,0,25,3,0.00,17,0.68,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,10.2,1,126,7,0.00,24,0.33,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4.8,0,48,4,0.25,7,0.97,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,17,1,129,4,0.19,12,0.68,7,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
1,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2.3,1,25,3,0.00,5,0.96,3,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
1,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,3.4,0,116,3,0.10,101,1.31,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,13.6,1,136,7,0.26,13,0.94,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,9.4,1,73,5,0.33,19,1.10,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,10.2,0,124,5,0.39,61,1.48,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1.15,1,24,5,0.00,3,0.58,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,9.4,1,72,5,0.00,24,0.33,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
1,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2.35,1,72,5,0.17,24,0.50,4,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,4,1,2.35,1,86,6,0.14,17,0.44,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,5.75,1,18,3,0.00,6,0.33,8,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.3,0,12,1,1.00,12,1.50,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
1,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1.15,1,24,3,0.00,13,1.00,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,3.4,1,121,11,0.00,39,0.32,7,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1.15,1,18,2,0.00,8,0.44,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.35,1,89,4,0.40,18,1.35,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
1,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1.15,1,8,2,0.00,5,0.63,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,1,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,8,1,68,6,0.18,31,0.68,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.6,1,39,3,0.00,6,0.33,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6.4,1,39,1,0.31,39,1.50,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,3.4,1,172,6,0.28,13,1.08,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1.6,1,53,2,0.23,17,1.02,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
1,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.8,1,33,3,0.00,3,0.03,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.15,1,45,1,0.53,45,2.00,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,1,2,1,0,0,0,1,0,1,0,0,0,0,1,0,3,1,9.4,1,84,7,0.00,7,0.15,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1,0,2,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1.6,1,56,3,0.00,49,0.88,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,0,2,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1.6,1,51,7,0.24,5,1.09,13,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.6,1,60,5,0.00,16,0.27,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3.4,1,102,6,0.24,26,0.51,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.6,0,54,1,0.89,54,3.00,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4.7,0,60,3,0.20,41,1.03,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,1,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,11.75,1,80,3,0.30,48,1.20,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
1,1,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,4.8,1,43,2,0.56,36,1.67,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0
0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.15,1,13,2,0.00,14,1.08,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
1,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1.6,0,40,2,0.60,29,1.45,3,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,1,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,6.4,1,33,3,0.00,7,0.58,8,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1.6,1,26,4,0.46,13,0.75,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.15,1,8,2,0.00,8,1.00,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1
1,1,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1.6,1,37,5,0.00,6,0.19,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4.7,1,69,3,0.17,17,0.54,4,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
1,2,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,6.8,0,93,5,0.13,27,0.42,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8,1,38,5,0.00,7,0.03,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.6,1,115,5,0.00,5,0.43,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1,2,4,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,10.2,1,88,3,0.14,3,0.61,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3.4,1,105,3,0.00,80,0.76,6,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3.4,1,88,3,0.41,5,1.25,3,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
1,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.05,1,55,2,0.22,49,1.34,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.35,1,121,4,0.30,73,1.51,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,10.2,0,101,4,0.12,49,0.73,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
